expense_tags,big_category,count
null,,36433
engineering,development,2338
webservices,infra,1097
travel,travel,585
infrastructure,infra,571
communications,communication,434
food&beverage,food,364
hardware,supplies,262
hosting,infra,240
coredeveloper,development,222
marketing,marketing,198
development,development,195
supplies&materials,supplies,185
other,others,147
bounty,development,136
"holidaygiftdrive,m,aor,mmipfamily,aor-m",communication,131
software,development,129
office,governance,125
team,communication,123
aws,infra,105
legal,governance,102
infra,infra,100
website,infra,100
services,governance,92
maintainer-stipend,development,85
"samu,approved",others,85
maintenance,development,85
sponsorprojectswedependon,others,85
email,communication,78
stan,others,78
devopsstaffing,development,77
"tepi,approved",others,73
servers,infra,73
hasreceipt,others,70
domain,infra,68
design,development,67
communityfirstrent,communication,67
donation,others,64
server,infra,63
staffcosts,development,60
devices,supplies,56
coordination,governance,54
pymc,others,53
devprconf25,communication,51
food,food,45
events,communication,45
cdn,infra,44
tools,development,42
operationalcosts,governance,40
"team,paidcontributorsprogram",development,40
conference,communication,40
"equipment,museum,memorysavers",supplies,39
core-coordinated,governance,35
salary,,34
digitalocean,,33
matﾃｩrieltci,,33
non-core,,32
engine,,32
kitchenmaintenance,,31
paris2025,,30
cleanup,,30
paidcontributorsprogram,,29
"engineering,team",,29
"mauticon,marketing,ppc",,29
research,,28
backend,,28
bountyprogram,,26
power,,26
consultants,,26
"agm,travel",,25
flt-706,,25
ce-reimbursement,,24
arviz,,24
"approved,lovisa",,24
employment,,23
reeree,,23
staffing,,23
community,,23
personnel,,22
podcast,,22
zyte,,21
retroactiveaward,,21
teamtravel,,21
"development,reinbursement",,20
ce-sponsorship,,20
scholarship2024,,20
shipping,,20
huntr,,20
swag,,19
local,,19
coreteam,,19
gift,,19
logistics,,18
event,,18
"core,committer",,18
mauticon,,18
project_manager,,17
"software&subscriptions,cloudservices&hosting",,17
admin,,17
"esmarconf2022,resourceconstraintsbursary",,17
"infrastructure,cloudflare",,17
"reoccuring,google",,17
org-ops,,16
opm-6c0,,16
documentation,,16
how-to,,16
"invoiceattached,contabo",,16
thanks,,15
"fundraising,in-quickbooks",,15
client,,15
maintainer-distribution,,15
marcurious,,15
swagstore,,15
testing,,15
